feature,classifier,accuracy,precision,recall,f1,f1_macro,f1_micro,roc_auc
BoW,MLP,0.9439719859929965,0.9472978869720308,0.9439719859929965,0.9438816284816947,0.7379501971121237,0.9439719859929965,0.9649824912456227
BoW,SGDClassifier,0.9399699849924963,0.9422242590883203,0.9399699849924963,0.9408904146892378,0.6626223209024626,0.9399699849924963,0.9624812406203102
BoW,Perceptron,0.9394697348674337,0.9418088159596596,0.9394697348674337,0.9403760958123927,0.6941301296448183,0.9394697348674337,0.9621685842921461
BoW,RFC,0.9394697348674337,0.9439431757763699,0.9394697348674337,0.9390449462019144,0.7468139594706604,0.9394697348674337,0.9621685842921461
BoW,ExtraTrees,0.9374687343671836,0.9408220869285402,0.9374687343671836,0.9369892889256648,0.7335162155127893,0.9374687343671836,0.9609179589794896
BoW,LogisticRegression,0.9344672336168084,0.9408312563453008,0.9344672336168084,0.93508151252991,0.7282486101419544,0.9344672336168084,0.9590420210105052
BoW,NearestCentroid,0.9374687343671836,0.9359194225134323,0.9374687343671836,0.9335301680810812,0.6767176147511675,0.9374687343671836,0.9609179589794896
BoW,PassiveAggressive,0.9134567283641821,0.9314171172705762,0.9134567283641821,0.9185934052860906,0.7069582243624337,0.9134567283641821,0.9459104552276137
BoW,Bagging,0.9184592296148074,0.9204218379003779,0.9184592296148074,0.9180927097471158,0.6691762385393254,0.9184592296148074,0.9490370185092547
BoW,DecisionTree,0.9054527263631816,0.9184506550786007,0.9054527263631816,0.9098820006159835,0.6597391588982471,0.9054527263631816,0.9409079539769885
BoW,LinearSVC,0.8979489744872436,0.9273424722961993,0.8979489744872436,0.9063819305457173,0.6973489918248197,0.8979489744872436,0.9362181090545274
BoW,OneVsRest,0.8939469734867433,0.9266916597142112,0.8939469734867433,0.9037741171471454,0.6963780476881636,0.8939469734867433,0.9337168584292146
BoW,OneVsOne,0.8939469734867433,0.9250766165701185,0.8939469734867433,0.9031285680092885,0.6914013566485847,0.8939469734867433,0.9337168584292146
BoW,SVM_RBF,0.92096048024012,0.9230217964913462,0.92096048024012,0.9020387982008753,0.5303784479491804,0.92096048024012,0.9506003001500751
BoW,SVC-GC,0.9094547273636818,0.9136568340917707,0.9094547273636818,0.8785503349375912,0.5709260303564259,0.9094547273636818,0.9434092046023013
BoW,RidgeClassifier,0.8359179589794897,0.909865446530604,0.8359179589794897,0.8601846704002765,0.641602441546735,0.8359179589794897,0.8974487243621811
BoW,AdaBoost,0.8929464732366184,0.8477934063792061,0.8929464732366184,0.8536738903483154,0.22418876090750434,0.8929464732366184,0.9330915457728864
BoW,KNeighbors,0.624312156078039,0.8626790785057121,0.624312156078039,0.6966918627265294,0.24526790196145914,0.624312156078039,0.7651950975487745
