feature,classifier,accuracy,precision,recall,f1,f1_macro,f1_micro,roc_auc
LaBSE Embedding,MLP,0.9599799899949975,0.9585363960035492,0.9599799899949975,0.9590119055845419,0.7592236428747008,0.9599799899949975,0.9749874937468734
LaBSE Embedding,LinearSVC,0.9574787393696849,0.9584818482719878,0.9574787393696849,0.9579256740704339,0.7520945718003875,0.9574787393696849,0.973424212106053
LaBSE Embedding,OneVsOne,0.9569784892446224,0.9585673989058091,0.9569784892446224,0.9576744975798669,0.750186579353246,0.9569784892446224,0.9731115557778891
LaBSE Embedding,LogisticRegression,0.9524762381190596,0.9558434108796713,0.9524762381190596,0.9539150228537705,0.7070994540294022,0.9524762381190596,0.9702976488244122
LaBSE Embedding,RFC,0.9559779889944973,0.9577085619280981,0.9559779889944973,0.9509650902147722,0.7570606899640109,0.9559779889944973,0.9724862431215607
LaBSE Embedding,OneVsRest,0.9474737368684342,0.9503620342567664,0.9474737368684342,0.9487177254810903,0.6773931389917861,0.9474737368684342,0.9671710855427714
LaBSE Embedding,ExtraTrees,0.9539769884942472,0.9558620115486601,0.9539769884942472,0.9485007755073708,0.7531379585326953,0.9539769884942472,0.9712356178089045
LaBSE Embedding,Bagging,0.9469734867433717,0.9452434925568343,0.9469734867433717,0.9422604170400213,0.7282486819048155,0.9469734867433717,0.9668584292146073
LaBSE Embedding,SGDClassifier,0.9419709854927464,0.9393637230801781,0.9419709854927464,0.9330607320781463,0.5524188591198225,0.9419709854927464,0.9637318659329667
LaBSE Embedding,DecisionTree,0.9259629814907454,0.9338818837700281,0.9259629814907454,0.9293177163587665,0.6276700137950064,0.9259629814907454,0.9537268634317159
LaBSE Embedding,SVC-GC,0.9369684842421211,0.928449451117307,0.9369684842421211,0.9226497004212909,0.4352721950197929,0.9369684842421211,0.9606053026513256
LaBSE Embedding,RidgeClassifier,0.9339669834917459,0.9174001491996572,0.9339669834917459,0.9193248899958324,0.38151310022824514,0.9339669834917459,0.958729364682341
LaBSE Embedding,Perceptron,0.9169584792396198,0.9311397922571829,0.9169584792396198,0.9180779702981744,0.5391265923401481,0.9169584792396198,0.9480990495247623
LaBSE Embedding,SVM_RBF,0.9339669834917459,0.9186100654252519,0.9339669834917459,0.9178258312473471,0.3659017856638478,0.9339669834917459,0.958729364682341
LaBSE Embedding,PassiveAggressive,0.9324662331165583,0.9111467830507445,0.9324662331165583,0.9152911394214305,0.3503588509270008,0.9324662331165583,0.957791395697849
LaBSE Embedding,KNeighbors,0.9099549774887443,0.8949661270218918,0.9099549774887443,0.8936898433157742,0.381297360289684,0.9099549774887443,0.9437218609304652
LaBSE Embedding,AdaBoost,0.9069534767383692,0.8725944074755171,0.9069534767383692,0.8827605925732644,0.28200158683873244,0.9069534767383692,0.9418459229614808
LaBSE Embedding,NearestCentroid,0.4442221110555278,0.88187377590105,0.4442221110555278,0.5495894533351198,0.24571725926945182,0.4442221110555278,0.6526388194097048
